playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478476,2022,Kyle Capobianco,WPG,D,other,9,62.0,1.0,0.57,1.0,0.11,0.5,0.67,1.0,0.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.8,0.09,0.09,0.09,0.09,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.41,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8478476,2022,Kyle Capobianco,WPG,D,all,9,6553.0,158.0,2.05,0.56,0.51,0.54,0.5,0.54,0.5,53.0,8.0,0.33,0.48,2.26,0.27,5.03,3.62,0.32,0.33,0.32,0.0,0.0,6.0,6.0,5.0,17.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,6.0,5.0,11.0,2.0,4.0,0.0,9.0,3.0,2.0,11.0,1.0,0.0,0.2,0.13,0.0,1.0,0.0,0.0,16.99,12.0,12.03,2.0,0.1,0.0,0.0,0.43,0.43,0.42,158.0,19.0,13.0,18.0,108.0,25.0,21.0,22.0,90.0,0.0,0.0,25847.0,4.0,2.0,1.0,4.0,53.93,4.25,4.19,4.18,4.12,59.0,19.0,21.0,99.0,3.0,2.0,0.0,65.0,8.0,5.0,1.96,1.0,1.29,2.0,0.0,1.0,97.86,78.0,76.74,0.7,0.64,0.64,4.31,4.26,4.2,47.17,3.31,3.26,3.32,3.28,52.0,14.0,20.0,86.0,2.0,4.0,0.0,54.0,11.0,1.0,1.46,1.56,0.29,0.0,2.0,0.0,85.08,66.0,65.86,0.59,0.61,0.61,3.29,3.33,3.29,22.33,21.57,396.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
8478476,2022,Kyle Capobianco,WPG,D,5on5,9,6069.0,146.0,2.05,0.56,0.51,0.54,0.49,0.54,0.49,51.0,7.3,0.33,0.43,2.1,0.25,4.71,3.17,0.32,0.33,0.32,0.0,0.0,5.0,6.0,5.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,10.0,2.0,4.0,0.0,9.0,3.0,2.0,10.0,1.0,0.0,0.2,0.13,0.0,1.0,0.0,0.0,15.99,11.0,11.03,2.0,0.09,0.0,0.0,0.42,0.42,0.4,146.0,17.0,13.0,16.0,100.0,22.0,20.0,20.0,84.0,0.0,0.0,20687.0,4.0,2.0,1.0,4.0,51.07,4.07,4.01,4.0,3.94,56.0,18.0,21.0,95.0,3.0,2.0,0.0,62.0,7.0,5.0,1.88,0.9,1.29,2.0,0.0,1.0,93.86,74.0,72.74,0.64,0.64,0.64,4.07,4.02,3.96,44.76,3.2,3.15,3.21,3.17,50.0,13.0,19.0,82.0,2.0,4.0,0.0,51.0,11.0,1.0,1.35,1.56,0.29,0.0,2.0,0.0,81.08,63.0,62.86,0.57,0.61,0.61,3.16,3.2,3.17,14.75,13.99,300.0,317.0,0.38,0.0,9.0,0.0,6.0,0.0
8478476,2022,Kyle Capobianco,WPG,D,4on5,9,63.0,3.0,-0.3,0.0,0.41,0.0,0.14,0.0,0.22,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.28,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8478476,2022,Kyle Capobianco,WPG,D,5on4,9,359.0,8.0,1.33,0.45,0.95,0.5,0.88,0.5,0.88,23.0,0.69,0.0,0.05,0.16,0.02,0.31,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,8.0,2.0,0.0,2.0,4.0,3.0,0.0,2.0,3.0,0.0,0.0,1747.0,0.0,0.0,0.0,0.0,2.06,0.09,0.09,0.09,0.09,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.05,0.0,0.0,0.13,0.13,0.13,2.41,0.11,0.11,0.11,0.11,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.12,0.12,0.12,2.93,0.16,50.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8480056,2022,Jack Rathbone,VAN,D,other,6,90.0,2.0,-1.13,0.0,0.65,0.33,0.67,0.0,0.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.93,0.93,0.93,0.93,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.93,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.93,0.93,0.93,0.92,0.49,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8480056,2022,Jack Rathbone,VAN,D,all,6,5552.0,125.0,-0.78,0.49,0.43,0.44,0.42,0.41,0.41,34.0,6.56,0.37,0.34,2.05,0.22,3.32,2.69,0.36,0.35,0.34,0.0,1.0,7.0,2.0,6.0,15.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,2.0,0.0,0.13,0.24,0.0,0.0,0.0,0.0,13.67,9.0,8.29,3.0,0.07,0.0,0.13,0.31,0.29,0.29,125.0,14.0,7.0,17.0,87.0,14.0,18.0,22.0,71.0,0.0,0.0,16048.0,0.0,2.0,1.0,3.0,42.11,5.78,5.58,5.77,5.58,43.0,14.0,26.0,83.0,7.0,7.0,1.0,36.0,12.0,9.0,1.21,1.45,3.12,0.0,4.0,3.0,80.45,57.0,55.85,0.69,1.97,1.97,4.5,4.48,4.43,59.43,6.05,5.87,6.18,6.0,53.0,29.0,25.0,107.0,6.0,4.0,0.0,55.0,22.0,5.0,1.59,2.62,1.84,1.0,3.0,2.0,109.34,82.0,83.78,0.85,0.66,0.66,6.24,6.36,6.23,11.19,14.68,196.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
8480056,2022,Jack Rathbone,VAN,D,5on5,6,4983.0,111.0,-0.78,0.41,0.46,0.39,0.43,0.36,0.43,33.0,5.92,0.33,0.29,1.85,0.2,2.83,2.49,0.32,0.31,0.3,0.0,1.0,6.0,2.0,5.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,0.08,0.24,0.0,0.0,0.0,0.0,11.67,8.0,7.29,3.0,0.06,0.0,0.13,0.26,0.24,0.24,111.0,11.0,5.0,15.0,80.0,14.0,16.0,15.0,66.0,0.0,0.0,12589.0,0.0,2.0,1.0,3.0,31.93,3.4,3.26,3.4,3.26,33.0,10.0,21.0,64.0,3.0,5.0,1.0,30.0,8.0,5.0,0.88,0.96,1.56,0.0,2.0,1.0,61.45,43.0,41.85,0.47,1.48,1.48,2.39,2.37,2.35,56.12,4.84,4.66,4.97,4.78,50.0,28.0,23.0,101.0,5.0,4.0,0.0,54.0,20.0,4.0,1.58,2.34,0.91,1.0,3.0,1.0,103.34,78.0,79.78,0.81,0.66,0.66,4.99,5.11,4.97,8.24,9.73,158.0,207.0,0.04,0.0,5.0,0.0,3.0,0.0
8480056,2022,Jack Rathbone,VAN,D,4on5,6,10.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8480056,2022,Jack Rathbone,VAN,D,5on4,6,469.0,11.0,-1.08,0.89,0.72,0.82,0.83,0.82,0.82,11.0,0.65,0.04,0.06,0.2,0.02,0.49,0.19,0.04,0.04,0.04,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.06,0.06,0.06,11.0,3.0,2.0,1.0,5.0,0.0,1.0,7.0,3.0,0.0,0.0,827.0,0.0,0.0,0.0,0.0,10.18,2.38,2.32,2.38,2.32,10.0,4.0,4.0,18.0,4.0,2.0,0.0,6.0,4.0,4.0,0.33,0.5,1.55,0.0,2.0,2.0,18.0,14.0,14.0,0.22,0.49,0.49,2.12,2.12,2.08,2.43,0.28,0.28,0.28,0.28,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.01,0.28,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.04,0.0,0.0,0.32,0.32,0.32,0.42,0.17,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
