team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2022,CGY,CGY,Team Level,other,51,0.48,0.47,0.47,6948.0,89.33,21.48,5.9,15.35,2.92,47.89,32.46,19.71,21.48,19.71,87.0,39.0,42.0,168.0,14.0,4.0,0.0,18.0,5.0,39.0,46.0,73.0,112.0,12.0,28.0,81.0,31.0,18.0,18.0,62.0,34.0,30.0,2.41,4.05,15.02,2.0,3.0,9.0,168.0,126.0,126.0,11.0,1.72,1.78,1.78,21.42,21.42,20.17,104.16,22.93,7.47,17.66,3.35,55.15,35.44,21.4,22.93,21.4,104.0,38.0,47.0,189.0,22.0,8.0,2.0,17.0,5.0,50.0,40.0,82.0,120.0,2.0,4.0,100.0,19.0,14.0,21.0,64.0,48.0,30.0,2.52,6.07,14.34,4.0,6.0,12.0,189.0,142.0,142.0,8.0,2.24,2.65,2.65,22.51,22.51,21.27
CGY,2022,CGY,CGY,Team Level,all,51,0.52,0.55,0.55,186194.0,1794.55,165.27,121.32,420.18,60.05,991.54,736.65,159.58,166.56,160.79,1803.0,692.0,810.0,3305.0,160.0,160.0,25.0,452.0,41.0,686.0,996.0,1643.0,2335.0,214.0,481.0,1604.0,1225.0,417.0,482.0,1883.0,439.0,173.0,51.58,53.82,59.87,45.0,60.0,55.0,3334.79,2495.0,2513.13,253.0,26.82,32.14,32.14,159.95,160.97,157.77,1480.11,153.03,101.44,339.14,48.78,802.53,589.07,146.89,153.15,147.03,1426.0,608.0,649.0,2683.0,154.0,118.0,16.0,339.0,66.0,587.0,770.0,1272.0,1880.0,195.0,435.0,1553.0,1093.0,428.0,538.0,1435.0,448.0,151.0,43.09,55.13,54.81,56.0,55.0,43.0,2678.62,2034.0,2034.72,293.0,22.73,24.38,24.44,151.32,151.51,147.97
CGY,2022,CGY,CGY,Team Level,5on5,51,0.53,0.56,0.56,146582.0,1393.24,110.98,88.78,341.39,46.54,764.53,575.77,107.8,112.26,109.02,1389.0,539.0,642.0,2570.0,110.0,127.0,19.0,371.0,30.0,520.0,770.0,1279.0,1818.0,187.0,423.0,1206.0,1110.0,334.0,391.0,1491.0,335.0,102.0,41.18,41.4,28.39,39.0,49.0,22.0,2599.79,1928.0,1946.13,209.0,18.26,23.39,23.39,105.84,106.87,105.5,1115.66,97.37,72.96,270.33,36.97,602.28,456.09,94.4,97.49,94.55,1068.0,468.0,501.0,2037.0,102.0,95.0,12.0,261.0,50.0,433.0,595.0,966.0,1434.0,181.0,407.0,1178.0,996.0,363.0,433.0,1134.0,316.0,86.0,34.26,39.03,24.09,48.0,38.0,16.0,2032.62,1536.0,1536.72,254.0,15.09,18.21,18.27,94.19,94.38,93.08
CGY,2022,CGY,CGY,Team Level,4on5,51,0.17,0.21,0.23,17177.0,68.04,5.97,3.51,10.09,2.29,23.35,49.79,5.93,5.97,5.93,75.0,20.0,11.0,106.0,5.0,1.0,0.0,10.0,1.0,11.0,67.0,70.0,90.0,6.0,12.0,150.0,59.0,49.0,34.0,74.0,15.0,6.0,2.11,1.84,2.03,1.0,2.0,2.0,106.0,95.0,95.0,31.0,0.8,0.33,0.33,6.45,6.45,6.41,225.73,29.99,19.54,46.67,7.4,134.39,72.01,28.37,29.99,28.37,214.0,96.0,92.0,402.0,27.0,14.0,2.0,56.0,10.0,99.0,104.0,187.0,283.0,4.0,8.0,152.0,24.0,13.0,56.0,204.0,72.0,34.0,5.32,8.55,16.11,4.0,8.0,15.0,402.0,310.0,310.0,6.0,5.07,3.24,3.24,31.82,31.82,30.83
CGY,2022,CGY,CGY,Team Level,5on4,51,0.91,0.89,0.88,15487.0,243.95,26.84,23.14,53.35,8.29,155.77,78.62,26.14,26.84,26.14,252.0,94.0,115.0,461.0,31.0,28.0,6.0,53.0,5.0,116.0,113.0,221.0,315.0,9.0,18.0,167.0,25.0,16.0,39.0,256.0,55.0,35.0,5.88,6.53,14.43,3.0,6.0,22.0,461.0,346.0,346.0,2.0,6.04,6.64,6.64,26.24,26.24,25.69,34.56,2.75,1.47,4.48,1.05,10.72,25.53,2.72,2.75,2.72,40.0,6.0,9.0,55.0,3.0,1.0,0.0,5.0,1.0,5.0,31.0,37.0,43.0,8.0,16.0,123.0,54.0,38.0,28.0,33.0,12.0,1.0,0.99,1.48,0.28,0.0,3.0,0.0,55.0,46.0,46.0,25.0,0.34,0.28,0.28,2.81,2.81,2.79
STL,2022,STL,STL,Team Level,other,51,0.32,0.43,0.41,5286.0,63.97,12.87,4.13,11.06,1.98,32.79,23.17,12.68,12.87,12.68,66.0,20.0,33.0,119.0,15.0,4.0,1.0,14.0,0.0,26.0,27.0,51.0,71.0,3.0,4.0,66.0,12.0,16.0,4.0,43.0,30.0,13.0,1.63,3.78,7.46,2.0,5.0,8.0,119.0,86.0,86.0,2.0,1.17,0.73,0.73,13.31,13.31,13.17,91.47,26.87,6.48,14.05,2.93,45.93,28.73,25.7,26.87,25.7,90.0,35.0,30.0,155.0,27.0,7.0,2.0,11.0,2.0,43.0,35.0,63.0,98.0,3.0,6.0,52.0,13.0,17.0,16.0,51.0,37.0,37.0,2.04,4.81,20.02,2.0,2.0,23.0,155.0,125.0,125.0,7.0,1.86,2.29,2.84,25.9,25.9,24.97
STL,2022,STL,STL,Team Level,all,51,0.45,0.47,0.47,185441.0,1455.72,142.18,102.04,324.58,46.51,805.76,585.93,137.72,142.32,137.87,1466.0,541.0,612.0,2619.0,153.0,112.0,15.0,288.0,58.0,654.0,742.0,1313.0,1854.0,152.0,337.0,1366.0,1188.0,428.0,398.0,1439.0,438.0,130.0,42.99,52.34,46.86,51.0,56.0,46.0,2603.14,2007.0,1999.66,243.0,22.35,24.14,24.14,140.38,140.57,138.11,1653.54,172.62,116.47,375.96,54.62,905.06,662.27,165.31,173.29,165.98,1629.0,658.0,712.0,2999.0,184.0,157.0,28.0,312.0,41.0,765.0,828.0,1445.0,2103.0,169.0,375.0,1333.0,1059.0,532.0,411.0,1604.0,508.0,175.0,48.16,61.64,62.82,50.0,69.0,65.0,3021.6,2287.0,2298.18,243.0,25.47,33.11,33.11,164.98,165.62,161.4
STL,2022,STL,STL,Team Level,5on5,51,0.46,0.46,0.47,154173.0,1156.99,99.92,78.25,269.51,37.17,636.85,475.31,97.3,100.06,97.45,1166.0,431.0,490.0,2087.0,102.0,90.0,10.0,234.0,50.0,513.0,608.0,1064.0,1495.0,140.0,317.0,1065.0,1137.0,369.0,350.0,1168.0,345.0,84.0,36.02,41.44,22.46,41.0,43.0,18.0,2071.13,1597.0,1589.66,227.0,16.14,19.13,19.27,96.79,96.98,95.66,1321.95,118.27,89.63,315.05,43.93,722.42,539.7,113.78,118.93,114.45,1303.0,526.0,609.0,2438.0,124.0,127.0,21.0,261.0,33.0,602.0,682.0,1179.0,1705.0,158.0,353.0,1065.0,996.0,459.0,347.0,1328.0,392.0,109.0,40.01,47.66,30.59,42.0,57.0,25.0,2460.6,1829.0,1840.18,214.0,18.53,26.09,25.54,111.25,111.9,109.95
STL,2022,STL,STL,Team Level,4on5,51,0.15,0.12,0.14,11724.0,34.18,3.96,1.86,4.54,1.08,10.94,23.61,3.81,3.96,3.81,35.0,11.0,2.0,48.0,3.0,4.0,1.0,3.0,1.0,12.0,23.0,32.0,43.0,6.0,12.0,97.0,25.0,34.0,13.0,31.0,10.0,5.0,0.83,1.25,1.87,0.0,2.0,1.0,48.0,46.0,46.0,11.0,0.43,1.59,1.59,2.8,2.8,2.77,197.46,23.11,18.14,40.98,6.48,123.34,63.95,21.56,23.11,21.56,190.0,86.0,67.0,343.0,27.0,21.0,3.0,36.0,6.0,110.0,76.0,163.0,249.0,6.0,12.0,113.0,14.0,13.0,26.0,188.0,65.0,23.0,4.96,7.4,10.75,4.0,9.0,14.0,343.0,276.0,276.0,1.0,4.57,4.26,4.26,23.43,23.43,22.12
STL,2022,STL,STL,Team Level,5on4,51,0.85,0.85,0.83,14258.0,200.57,25.43,17.8,39.47,6.28,125.19,63.84,23.93,25.43,23.93,199.0,79.0,87.0,365.0,33.0,14.0,3.0,37.0,7.0,103.0,84.0,166.0,245.0,3.0,4.0,138.0,14.0,9.0,31.0,197.0,53.0,28.0,4.51,5.86,15.06,8.0,6.0,19.0,365.0,278.0,278.0,3.0,4.61,2.69,2.55,27.48,27.48,26.52,42.66,4.37,2.22,5.87,1.27,13.37,29.9,4.27,4.37,4.27,46.0,11.0,6.0,63.0,6.0,2.0,2.0,4.0,0.0,10.0,35.0,40.0,51.0,2.0,4.0,103.0,36.0,43.0,22.0,37.0,14.0,6.0,1.15,1.76,1.46,2.0,1.0,3.0,63.0,57.0,57.0,21.0,0.5,0.47,0.47,4.39,4.39,4.36
